,Movie Titles,Release Month,Release Day,Distributor,Genre,MPAA Rating,Running Time (Min),2022 Gross,Tickets Sold
334,Hold Your Fire,May,20,IFC Films,Documentary,N/A,93,7502,818
335,Mau,May,13,Greenwich,Documentary,N/A,78,7500,817
336,Alter Ego,Jan,14,Indican Pictures,Thriller/Suspense,N/A,78,7390,805
337,Gossamer Folds,Aug,12,Indican Pictures,Drama,N/A,96,7113,775
338,Iâve Heard the Mermaids Sin…,Mar,11,Kino Lorber,Comedy,N/A,81,6840,745
339,Kamikaze Hearts,Nov,30,Facets,Drama,N/A,77,6669,727
340,Fiddlerâs Journey to the Bi…,Apr,29,Zeitgeist,Documentary,N/A,N/A,6318,688
341,"Hello, Bookstore",Apr,29,Greenwich,Documentary,N/A,86,6000,654
342,Italian Studies,Jan,14,Magnolia Pictures,Drama,N/A,78,5895,642
343,A Taste of Hunger,Jan,28,Magnolia Pictures,Drama,N/A,100,5860,639
344,The Story of Film: A New Ge…,Sep,9,Music Box Films,Documentary,N/A,167,5778,630
345,A Banquet,Feb,18,IFC Midnight,Thriller/Suspense,N/A,98,5238,571
346,Saloum,Sep,2,IFC Midnight,Thriller/Suspense,N/A,84,5078,553
347,Mondocane,May,20,Kino Lorber,Thriller/Suspense,N/A,116,4927,537
348,The Gravedigger,Mar,25,Indican Pictures,Horror,N/A,95,4726,515
349,A Man of Integrity,Jun,17,Big World Pictures,Drama,N/A,117,4499,490
350,a-ha: The Movie,Apr,8,Lightyear Enterta…,Documentary,N/A,109,4258,464
351,Luzzu,Oct,15,Kino Lorber,Drama,N/A,N/A,3996,435
352,Carmen,Sep,23,Good Deed Enterta…,Drama,N/A,83,3927,428
353,The Novice,Dec,17,IFC Films,Thriller/Suspense,R,94,3802,414
354,Adventures in Success,Mar,4,Utopia,Comedy,N/A,98,3695,402
355,Last Flight Home,Oct,7,MTV Documentary F…,Documentary,N/A,106,3670,400
356,Into the Weeds,May,20,Mongrel Media,Documentary,N/A,N/A,3410,371
357,Carp-e Diem,Sep,16,Indican Pictures,Comedy,N/A,100,3364,366
358,Bloom Up: A Swinger Couple …,Aug,12,Kino Lorber,Documentary,N/A,88,3107,338
359,Highway One,Aug,26,Indican Pictures,Drama,N/A,90,3063,334
360,The Modern Way,Sep,16,Indican Pictures,Drama,N/A,88,3059,333
361,Apples,Jun,24,Cohen Media Group,Comedy,N/A,90,2934,319
362,Ultrasound,Mar,11,Magnet Releasing,Thriller/Suspense,N/A,103,2908,317
363,Golden Voices,Oct,8,Music Box Films,Romantic Comedy,N/A,88,2305,251
364,Stanleyville,Apr,22,Oscilloscope Pict…,Comedy,N/A,88,2137,233
365,Kill Devil Hills,Jun,4,Sumbadhat Product…,Horror,N/A,82,2022,220
366,BâTwixt Now and Sunrise,Sep,30,Rialto Pictures,Horror,R,89,1996,217
367,Rubikon,Jul,1,IFC Midnight,Thriller/Suspense,N/A,110,1843,200
368,Losing Ground,Oct,7,Kino Lorber,Drama,N/A,N/A,1486,162
369,Petite fille,Sep,17,Music Box Films,Documentary,N/A,89,1122,122
370,Veneciafrenia,Aug,12,Sony Pictures,Adventure,R,80,1006,109
371,Sniper: The White Raven,Jul,1,Well Go USA,Drama,R,111,881,96
372,Terror on the Prairie,Aug,10,The Daily Wire,Western,N/A,N/A,804,87
373,Sensational Short Films,Sep,11,N/A,Multiple Genres,N/A,107,637,69
374,Found Wandering Lost,Jan,27,Mutiny Pictures,Drama,N/A,99,570,62
375,The Burning Sea,Feb,25,Magnet Releasing,Action,PG-13,104,493,53
376,Indemnity,Feb,11,N/A,N/A,N/A,124,347,347
